# path	newest_branch	holder_count
qualification/a01/A01-LEGACY-DIRECT-WORKFLOW-RETIREMENT-001.json	system-master/a01-registration-dispatch-barrier-001	1
qualification/a01/A01-OPERATING-CONTRACT.md	book-system/control-v1	257
qualification/a01/A01-OPERATING-MODE-001.md	book-system/control-v1	136
qualification/a01/A01-REGISTRATION-DISPATCH-BARRIER-001.md	documents/spine-effect-runtime-001-20260912	46
qualification/a01/a01-policy.json	book-system/control-v1	258
qualification/a01/legacy-direct-workflows.json	book-system/control-v1	263
qualification/a01/overnight/A01-OVERNIGHT-001.md	system-master/assurance-reconciliation-001	4
qualification/a01/overnight/FINAL-QUALIFICATION-TRIGGER.txt	system-master/a01-control-plane-overnight-001-final	1
qualification/a01/overnight/RECONCILIATION-QUALIFICATION-TRIGGER.txt	system-master/a01-control-plane-overnight-001-reconciled	1
qualification/a01/overnight/requests/2026-09-09--LEARNING--pilot-001-run-001-execution-prep.json	system-master/assurance-reconciliation-001	2
qualification/a01/overnight/requests/2026-09-09--LEARNING--pilot-001-run-001-final-human-execution.json	book-system/control-v1	71
qualification/a01/overnight/requests/2026-09-10--BOOK-EVAL--repair005-gate-d-teacher-freeze.json	book-system/control-v1	87
qualification/a01/overnight/requests/README.md	system-master/assurance-reconciliation-001	4
qualification/a01/overnight/ticket.schema.json	system-master/assurance-reconciliation-001	4
qualification/a01/probes/GITHUB-HOSTED-RUNNER-SLIM-PROBE-002.json	qualification/a01-hosted-runner-slim-probe-002	1
qualification/a01/registry.json	book-system/control-v1	319
qualification/a01/repair/A01-CLOSED-LOOP-REPAIR-001.md	core/a01-closed-loop-repair-001-integration-final	4
qualification/a01/repair/repair-candidate.schema.json	core/a01-closed-loop-repair-001-integration-final	4
qualification/a01/repair/repair-state.schema.json	core/a01-closed-loop-repair-001-integration-final	4
qualification/a01/requests/A01-CONTROL-PLANE-V8-METADATA-ADMISSION-QUALIFICATION.json	system-master/a01-control-plane-v8-metadata-admission-qualification	1
qualification/a01/requests/SYSTEM-MASTER-KNOWLEDGE-RECOVERY-PROGRAMMING-001-RUN-007-NOTE.txt	qualification/knowledge-recovery-programming-001-run-008	2
qualification/a01/requests/SYSTEM-MASTER-KNOWLEDGE-RECOVERY-PROGRAMMING-001.json	qualification/knowledge-recovery-programming-001-run-008	9
qualification/a01/requests/learning-final-human-repair-ec83.trigger	learning/request-final-human-repair-ec83-a01	1
qualification/a01/research/A01-ADMISSION-DISPATCH-BARRIER-001.md	system-master/a01-control-plane-admission-broker-001	1
qualification/a01/schema/qualification-receipt.schema.json	book-system/control-v1	212
qualification/a01/trusted-control-workflows.json	infrastructure/github-reliability-control-plane-001-rebase-20260910	3
qualification/audiobook/corpus/local-basic/README.md	recovery/core-consolidation-001	2
qualification/audiobook/corpus/local-basic/audiobook.json	recovery/core-consolidation-001	2
qualification/audiobook/corpus/local-basic/chapters/chapter-01.txt	recovery/core-consolidation-001	2
qualification/automation/corpus/basic/automation.json	recovery/core-consolidation-001	2
qualification/book-eval-lemonade-001/BLIND-RESUME-001-OBJECTIVE.md	literary-prose-engine-001	8
qualification/book-eval-lemonade-001/BLIND-RESUME-002-OBJECTIVE.md	literary-prose-engine-001	7
qualification/book-eval-lemonade-001/BOOK-EVAL-LEMONADE-001-BLIND-RESUME-003-ADAPTER-REPAIR-DECISION.md	literary-prose-engine-001	5
qualification/book-eval-lemonade-001/BOOK-EVAL-LEMONADE-001-BLIND-SCORING-E4-E5-ADJUDICATION.md	literary-prose-engine-001	5
qualification/book-eval-lemonade-001/BOOK-EVAL-LEMONADE-001-BLIND-SCORING-RECEIPT.json	literary-prose-engine-001	5
qualification/book-eval-lemonade-001/BOOK-EVAL-LEMONADE-001-CANDIDATE-MATRIX.csv	literary-prose-engine-001	5
qualification/book-eval-lemonade-001/BOOK-EVAL-LEMONADE-001-E4-E5-DELTA.csv	literary-prose-engine-001	5
qualification/book-eval-lemonade-001/BOOK-EVAL-LEMONADE-001-MANIFEST.sha256	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/BOOK-EVAL-LEMONADE-001-REPAIR-004-DESIGN.md	literary-prose-engine-001	5
qualification/book-eval-lemonade-001/BOOK-EVAL-LEMONADE-001-REPAIR-004-DEVELOPMENT-V2-RESULT.md	literary-prose-engine-001	5
qualification/book-eval-lemonade-001/BOOK-EVAL-LEMONADE-001-REPAIR-004-VISIBLE-RESULT.md	literary-prose-engine-001	5
qualification/book-eval-lemonade-001/BOOK-EVAL-LEMONADE-001-REPAIR-005-OBJECTIVE.md	literary-prose-engine-001	5
qualification/book-eval-lemonade-001/MODEL-ARTIFACT-REFERENCE.json	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/OBJECTIVE.md	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/PACKAGE-V2-REBUILD-MANIFEST.json	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/REPO-BIND-001-PACKAGE-V2-CLOSURE.md	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/REPO-PACKAGE-TRANSPORT.md	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/REPOSITORY-BIND-MANIFEST.sha256	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/RUN-A01-PREFLIGHT	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/RUN-BLIND-RESUME-002	literary-prose-engine-001	7
qualification/book-eval-lemonade-001/RUN-BLIND-RESUME-V2	literary-prose-engine-001	8
qualification/book-eval-lemonade-001/RUN-BLIND-STATE-PROBE	literary-prose-engine-001	8
qualification/book-eval-lemonade-001/RUN-BLIND-STATE-PROBE-V2	literary-prose-engine-001	7
qualification/book-eval-lemonade-001/RUN-PACKAGE-V2-REBUILD	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/SCORING-PRIVATE-BOUNDARY.md	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/a01-blind-resume-002.cmd	literary-prose-engine-001	7
qualification/book-eval-lemonade-001/a01-blind-resume-v2.cmd	literary-prose-engine-001	8
qualification/book-eval-lemonade-001/a01-blind-state-probe-v2.cmd	literary-prose-engine-001	7
qualification/book-eval-lemonade-001/a01-blind-state-probe.cmd	literary-prose-engine-001	8
qualification/book-eval-lemonade-001/a01-existing-package-probe.cmd	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/a01-full-blind-run.cmd	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/a01-model-artifact-probe.cmd	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/a01-preflight.cmd	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/a01-route-smoke.cmd	literary-prose-engine-001	9
qualification/book-eval-lemonade-001/diagnostic-src/org/systemmaster/tools/booklab/BookEvalLemonadeAdapterDiagnostic003.java	literary-prose-engine-001	6
